# DADS Drug Interaction Database · National Expert Verified
# Format: drug_a | drug_b | severity | mechanism | recommendation | source | last_verified
# Severity: CONTRAINDICATED > HIGH > MODERATE > MONITOR
# Source: FDA labeling, CYP450 tables, published clinical evidence
# Modified by: authorized clinical pharmacists only
# Version: 1.1 · Last updated: 2026-05-12
# Database: SQLite | Table: interactions | Primary Key: drug_a,drug_b

warfarin | aspirin | HIGH | Additive anticoagulant + antiplatelet. GI and intracranial bleeding risk. | Monitor INR. Add PPI for GI protection. | FDA Warfarin Label §7.2 | 2026-05-12
enoxaparin | aspirin | HIGH | Dual antiplatelet-anticoagulant. GI and intracranial bleeding risk. | Use PPI for GI protection. Avoid triple therapy (ASA+clopidogrel+anticoagulant) if possible. | ACCP 2012 | 2026-05
heparin | aspirin | HIGH | Additive bleeding risk. Standard in ACS protocol but requires monitoring. | Used in ACS per protocol. Monitor aPTT and bleeding signs. | ACC/AHA ACS Guidelines | 2026-05
lisinopril | potassium chloride | HIGH | ACEi reduces aldosterone → decreased renal K+ excretion. Hyperkalemia risk >5.5 mEq/L. | Avoid routine K+ supplementation with ACEi/ARB. If needed, start low dose + monitor K+ within 3-7 days. | JNC 8 §5.2 | 2026-05
losartan | spironolactone | HIGH | Dual RAAS blockade. Hyperkalemia risk. | Check K+ before and 3-7 days after starting. Avoid if baseline K+ >5.0. | ESC 2021 HF | 2026-05
valsartan | potassium chloride | HIGH | See ACEi + potassium mechanism. | Same as ACEi + K+. | JNC 8 | 2026-05
metformin | furosemide | MONITOR | Dehydration from diuretics increases lactic acidosis risk. Furosemide may raise glucose. | Monitor hydration and renal function. Hold metformin if dehydration/sickness. | ADA 2025 Standards | 2026-05
metformin | metoprolol | MODERATE | Beta blockers may mask hypoglycemia symptoms (except sweating). | Educate patient on hypoglycemia recognition. Not contraindicated. | ADA 2025 Standards | 2026-05
insulin glargine | metoprolol | MODERATE | Beta blockers mask hypoglycemic symptoms (tachycardia, tremor). Sweating still present. | Monitor blood glucose closely. Educate on sweat-only hypoglycemia awareness. | ADA 2025 Standards | 2026-05
insulin aspart | prednisone | HIGH | Corticosteroids induce insulin resistance and gluconeogenesis. Blood glucose can double. | Increase insulin dose 30-50% during steroid therapy. Taper insulin as steroid tapers. | ADA 2025 Standards §10 | 2026-05
empagliflozin | furosemide | MODERATE | SGLT2i osmotic diuresis + loop diuretic = additive volume depletion. Hypotension. | Monitor BP and volume status. Consider reducing loop diuretic dose. | ADA 2025 Standards | 2026-05
empagliflozin | lisinopril | MODERATE | Additive BP-lowering and renal effects. Risk of hypotension and AKI with volume depletion. | Monitor BP and renal function. Hold SGLT2i during acute illness with dehydration risk. | ADA 2025 Standards | 2026-05
semaglutide | levothyroxine | MODERATE | GLP-1 slows gastric emptying. May delay levothyroxine absorption. | Separate dosing by at least 1 hour. Monitor TSH. | FDA Semaglutide Label | 2026-05
digoxin | verapamil | HIGH | Verapamil reduces digoxin renal + non-renal clearance 25-40%. Serum levels can double. | Reduce digoxin 50%. Check digoxin level and ECG. Monitor for bradycardia and AV block. | FDA Digoxin Label | 2026-05
digoxin | spironolactone | MONITOR | Spironolactone may interfere with digoxin assay + reduce renal clearance. | Clinical monitoring more important than serum level. Watch for digoxin toxicity signs. | FDA Digoxin Label | 2026-05
amiodarone | metoprolol | HIGH | Amiodarone CYP2D6 inhibition. Metoprolol AUC increases 2x. Bradycardia, hypotension. | Reduce metoprolol dose. Monitor HR and BP. | FDA Amiodarone Label | 2026-05
amiodarone | levofloxacin | HIGH | Additive QT prolongation. Torsades de pointes risk. | Avoid combination if possible. If unavoidable, monitor QTc. Keep K+ and Mg2+ in high-normal range. | QTdrugs List · CredibleMeds | 2026-05
amiodarone | azithromycin | HIGH | Additive QT prolongation. Torsades de pointes risk. | Avoid. Prefer beta-lactam antibiotic. If unavoidable, monitor QTc and electrolytes. | QTdrugs List · CredibleMeds | 2026-05
levofloxacin | sertraline | MODERATE | Levofloxacin mild QT prolongation + SSRI. Theoretical additive risk. | Generally safe in healthy patients. Caution if other QT risk factors present. | QTdrugs List | 2026-05
ciprofloxacin | prednisone | HIGH | Fluoroquinolone + corticosteroid → increased tendon rupture risk (Achilles). | Avoid if possible. Educate on tendon pain. Stop ciprofloxacin at first sign of tendonitis. | FDA Ciprofloxacin Label §5.2 | 2026-05
levofloxacin | prednisone | HIGH | Fluoroquinolone + corticosteroid → increased tendon rupture risk. | Same as ciprofloxacin + steroid. | FDA Levofloxacin Label | 2026-05
ceftriaxone | calcium | CONTRAINDICATED | Ceftriaxone-calcium precipitates in lungs and kidneys in neonates. Fatal reactions reported. | Contraindicated in neonates ≤28 days if receiving calcium-containing IV fluids. | FDA Ceftriaxone Label §5.3 | 2026-05
vancomycin | furosemide | MONITOR | Additive nephrotoxicity and ototoxicity risk, especially with high vancomycin troughs (>20). | Monitor vancomycin trough (target 10-20). Monitor renal function q2-3 days. | IDSA Vancomycin Guidelines | 2026-05
vancomycin | gentamicin | HIGH | Additive nephrotoxicity and ototoxicity. Significant AKI risk. | Avoid if possible. If both needed, monitor renal function daily + vancomycin trough + gentamicin peak/trough. | IDSA Guidelines | 2026-05
gentamicin | furosemide | HIGH | Additive ototoxicity, especially in renal impairment or high-dose/prolonged therapy. | Avoid if possible. Monitor audiometry if prolonged course. Monitor renal function daily. | IDSA Guidelines | 2026-05
piperacillin-tazobactam | vancomycin | HIGH | Additive nephrotoxicity. AKI rates up to 20% with combination vs 5-8% with either alone. | Increase Cr monitoring to daily. Consider alternative (cefepime + vancomycin has lower AKI signal). | Clin Infect Dis 2022 | 2026-05
acyclovir | ibuprofen | MODERATE | NSAID may reduce renal clearance of acyclovir. Acyclovir CNS toxicity risk increased. | Ensure adequate hydration. Monitor renal function. | FDA Acyclovir Label | 2026-05
allopurinol | azathioprine | CONTRAINDICATED | Allopurinol inhibits xanthine oxidase → azathioprine accumulates → severe myelosuppression. | Contraindicated. Reduce azathioprine to 25% of usual dose if combination unavoidable. Check TPMT. | FDA Allopurinol Label §7.2 | 2026-05
allopurinol | mercaptopurine | CONTRAINDICATED | Same xanthine oxidase inhibition mechanism. Severe myelosuppression risk. | Reduce 6-MP to 25% of usual dose if combination forced. Monitor CBC weekly. | FDA Allopurinol Label | 2026-05
methotrexate | trimethoprim-sulfamethoxazole | HIGH | Additive folate antagonism. Both inhibit dihydrofolate reductase. Pancytopenia reported. | Avoid if possible. If co-prescribed, add folinic acid rescue + monitor CBC weekly. | ACR MTX Guidelines | 2026-05
methotrexate | amoxicillin | MODERATE | Penicillins reduce renal MTX clearance. Delayed MTX elimination → increased toxicity. | Monitor CBC and MTX levels if high-dose. Low-dose MTX: clinical monitoring usually sufficient. | ACR MTX Guidelines | 2026-05
lithium | ibuprofen | HIGH | NSAID reduces renal lithium clearance 15-30%. Lithium level can rise into toxic range within days. | Avoid NSAIDs. Acetaminophen preferred. If NSAID needed, check lithium level within 3-5 days. | FDA Lithium Label §7.1 | 2026-05
lithium | lisinopril | HIGH | ACEi reduces renal lithium clearance via decreased GFR + sodium depletion. Lithium toxicity risk. | Baseline lithium level. Recheck within 5-7 days of starting ACEi. Reduce lithium dose 25-50% empirically. | FDA Lithium Label | 2026-05
lithium | hydrochlorothiazide | CONTRAINDICATED | Thiazide reduces lithium clearance dramatically (30-60%). Lithium toxicity with normal doses. | Contraindicated in most cases. If forced, reduce lithium 50% and monitor level q3-5 days. | FDA Lithium Label §4 | 2026-05
lithium | furosemide | MODERATE | Loop diuretic effect on lithium less than thiazide. Still significant risk with dehydration. | Monitor lithium level when starting/changing loop diuretic dose. | FDA Lithium Label | 2026-05
fluoxetine | tramadol | HIGH | SSRI + tramadol (SNRI) = serotonin syndrome risk. Both increase serotonin. | Avoid combination. If needed, use lowest doses + educate on serotonin syndrome signs. | FDA Tramadol Label §7.2 | 2026-05
fluoxetine | linezolid | CONTRAINDICATED | SSRI + MAO inhibitor (linezolid has MAO activity) = serotonin syndrome. | Contraindicated. Hold SSRI before starting linezolid (fluoxetine needs 5-week washout). | FDA Linezolid Label §4 | 2026-05
sertraline | warfarin | MONITOR | SSRI modest effect on warfarin. Bleeding risk from platelet serotonin depletion + anticoagulant. | Monitor INR. Consider PPI if additional GI risk factors. | FDA Sertraline Label | 2026-05
duloxetine | warfarin | MODERATE | SNRI may increase bleeding risk with anticoagulants. | Monitor for bleeding. Not contraindicated but caution advised. | FDA Duloxetine Label | 2026-05
alprazolam | fluconazole | HIGH | CYP3A4 strong inhibition. Alprazolam AUC increases 2-4x. Excessive sedation, respiratory depression. | Avoid if possible. If combined, reduce alprazolam dose 50-75%. | FDA Alprazolam Label | 2026-05
alprazolam | azithromycin | MODERATE | Macrolide CYP3A4 mild inhibition. Modest increase in alprazolam levels. | Monitor for sedation. Generally safe at normal doses. | FDA Alprazolam Label | 2026-05
diazepam | fluconazole | HIGH | CYP3A4 inhibition. Diazepam half-life prolonged. Excessive sedation. | Avoid. Use lorazepam (glucuronidation, not CYP450) as alternative. | FDA Diazepam Label | 2026-05
diazepam | omeprazole | MODERATE | CYP2C19 inhibition. Diazepam clearance reduced 40%. | Monitor for prolonged sedation. Reduce diazepam dose if needed. | FDA Diazepam Label | 2026-05
lorazepam | valproate | MODERATE | Valproate displaces lorazepam from protein binding + inhibits glucuronidation. | Monitor for sedation. Reduce lorazepam dose if needed. | FDA Lorazepam Label | 2026-05
quetiapine | fluconazole | HIGH | CYP3A4 strong inhibition. Quetiapine AUC increases 6x. QT prolongation, sedation, hypotension. | Avoid if possible. If combined, reduce quetiapine to 1/6 of usual dose. | FDA Quetiapine Label §7.1 | 2026-05
quetiapine | carbamazepine | HIGH | CYP3A4 potent induction. Quetiapine AUC decreased 80%. Loss of efficacy. | Quetiapine dose may need 5x increase. Monitor clinical response. | FDA Quetiapine Label | 2026-05
olanzapine | carbamazepine | HIGH | CYP1A2 induction. Olanzapine clearance doubled. Loss of efficacy. | Increase olanzapine dose or switch to non-induced antipsychotic. | FDA Olanzapine Label | 2026-05
gabapentin | morphine | HIGH | Additive CNS depression. Respiratory depression risk, especially in elderly, opioid-naive, or sleep apnea. | Start gabapentin low. Avoid in severe COPD/OSA. Monitor respiratory rate. | FDA Gabapentin Label §7.1 | 2026-05
pregabalin | oxycodone | HIGH | Additive CNS + respiratory depression. Risk of overdose death. | Start low doses of both. Avoid in patients with respiratory compromise. | FDA Pregabalin Label §7.1 | 2026-05
tramadol | warfarin | MODERATE | Case reports of INR elevation with tramadol. Mechanism unclear. | Monitor INR. Not a reason to avoid tramadol if opioid needed. | FDA Tramadol Label | 2026-05
morphine | metoclopramide | MONITOR | Metoclopramide enhances gastric emptying → faster morphine absorption. Additive sedation. | Clinical monitoring usually sufficient. | FDA Morphine Label | 2026-05
ondansetron | sertraline | MODERATE | Additive serotonin effect. Theoretical serotonin syndrome risk. | No routine dose adjustment needed. Monitor for serotonin syndrome symptoms. | FDA Ondansetron Label | 2026-05
ondansetron | amiodarone | HIGH | Additive QT prolongation. Torsades risk. | Avoid if possible. Monitor QTc if both required. | QTdrugs List | 2026-05
potassium chloride | spironolactone | HIGH | K+-sparing diuretic + K+ supplementation → hyperkalemia. | Avoid routine co-administration. If both needed, monitor K+ within 48h and weekly. | FDA Spironolactone Label | 2026-05
